sector,rate_cycle,mean_return,median_return,std_return,n_months,annualised_return
Consumer Discretionary,cutting,0.004626154823080616,0.00637102228605313,0.05835118461898204,125,0.056948353908207405
Consumer Discretionary,hiking,0.008332153383988135,0.00889354655893504,0.053693159854436824,149,0.10469755474888132
Consumer Discretionary,neutral,0.022528796302972092,0.02120363738958697,0.05288974169913526,41,0.3064914401046226
Consumer Staples,cutting,0.005610170243376216,0.009524063126875149,0.036638684989414604,125,0.06943866877729077
Consumer Staples,hiking,0.005715141673650172,0.008253661072759266,0.03470684759696367,149,0.070779048780923
Consumer Staples,neutral,0.013356061094408306,0.015701639247189814,0.035183047276462195,41,0.17258634746611068
Energy,cutting,0.009668333183099844,0.012028630298172471,0.0822775526914634,125,0.1223926790952885
Energy,hiking,0.006104059984022898,0.010238986097355074,0.06621845369827482,149,0.07575857954435983
Energy,neutral,0.022487158562249084,0.017523656300937773,0.06263160852658652,41,0.3058531734429466
Financials,cutting,-0.0013443171752209873,0.007262677938633111,0.06852126814800856,125,-0.016013064513074937
Financials,hiking,0.007447083002344889,0.005274296816060398,0.05412397357464756,149,0.0931176955728592
Financials,neutral,0.02702756580636969,0.030932635679285392,0.05245155271075948,41,0.3771625512919441
Health Care,cutting,0.008121737290191654,0.009941717939384809,0.045382297693540755,125,0.10193442304108036
Health Care,hiking,0.004456539861991816,0.009065926329616891,0.03779170737043923,149,0.05480895658043217
Health Care,neutral,0.013321683720682983,0.023777206045708432,0.039222025958967226,41,0.17210908676505032
Industrials,cutting,0.003254674187511279,0.011185618895047877,0.059829216371849056,125,0.039762862571967705
Industrials,hiking,0.00853216905531117,0.007130147568056966,0.048653230914173305,149,0.10732999737866611
Industrials,neutral,0.023547056974049557,0.027100251475346226,0.05223526951595928,41,0.32218969103035766
Materials,cutting,0.0066162940383841925,0.009938946471673926,0.06597486841949361,125,0.08234937875265791
Materials,hiking,0.0062565269832592155,0.006265018045976012,0.05325982482258069,149,0.07771648187755886
Materials,neutral,0.01751920639292914,0.022147235786948327,0.05665231378207637,41,0.23171828060139088
Real Estate,cutting,0.011612777186367738,0.015777917392628016,0.04781544209778657,35,0.14860756631932448
Real Estate,hiking,0.0017863806873870227,0.001581512165643062,0.04854712047956044,65,0.021648443733543576
Real Estate,neutral,0.011481329154670705,0.012576664952683392,0.05483719261594151,24,0.1468178576218091
Technology,cutting,0.0015301709941081122,0.007825722529376522,0.07066426470922732,125,0.01851737679672638
Technology,hiking,0.01013805628726162,0.011715611889672184,0.06108790427971437,149,0.1286747206591532
Technology,neutral,0.021290139440940218,0.027515678851912417,0.05911704387755437,41,0.28762578741912836
Utilities,cutting,0.00423576210084547,0.011604928231610634,0.04644730517631082,125,0.052030175827712855
Utilities,hiking,0.00863827653624546,0.015409467111950015,0.04044249235294747,149,0.10872883041820613
Utilities,neutral,0.014585730558516731,0.013880061154724954,0.04726191612531475,41,0.1897754399027074
