sector,cutting,neutral,hiking
Technology,0.01851737679672638,0.28762578741912836,0.1286747206591532
Utilities,0.052030175827712855,0.1897754399027074,0.10872883041820613
Industrials,0.039762862571967705,0.32218969103035766,0.10732999737866611
Consumer Discretionary,0.056948353908207405,0.3064914401046226,0.10469755474888132
Financials,-0.016013064513074937,0.3771625512919441,0.0931176955728592
Materials,0.08234937875265791,0.23171828060139088,0.07771648187755886
Energy,0.1223926790952885,0.3058531734429466,0.07575857954435983
Consumer Staples,0.06943866877729077,0.17258634746611068,0.070779048780923
Health Care,0.10193442304108036,0.17210908676505032,0.05480895658043217
Real Estate,0.14860756631932448,0.1468178576218091,0.021648443733543576
